6511	1993	
6514	1440	
6516	1452	
6518	1416	
6520	1403	
6522	1419	
6524	1334	
6526	1457	
6528	1407	
6530	1393	
6532	1400	
6534	1358	
6536	1391	
6538	1405	
6540	1416	
6542	1390	
6544	1341	
6546	1398	
6548	1393	
6550	1419	
6552	1394	
6554	1342	
6556	1382	
6558	1390	
6560	1139	
6562	1391	
6564	1338	
6566	1370	
6568	1390	
6570	1143	
6572	1389	
6574	1334	
6576	1390	
6578	1391	
6580	1145	
6582	1392	
6584	1326	
6586	1383	
6588	1251	
6590	1333	
6592	1381	
6594	1379	
6596	1312	
6598	1380	
6600	1397	
6602	1316	
6604	1389	
6606	1394	
6608	5052	
6615	1411	
6617	1397	
6619	1335	
6621	1379	
6624	1379	
6626	1376	
6628	1390	
6631	1394	
6634	1388	
6636	1382	
6638	1400	
6641	1395	
6644	1391	
6646	3380	
6651	1408	
6654	1384	
6656	1394	
6658	1399	
6661	1391	
6663	1395	
6665	1075	
6667	1383	
6669	1393	
6671	1321	
6673	1368	
6675	1402	
6677	1312	
6679	1388	
6681	1378	
6683	1314	
6685	1393	
6687	1396	
6689	1322	
6691	1379	
6693	1401	
6695	1321	
6697	1382	
6699	1404	
6701	1378	
6703	1388	
6705	808	
6707	1388	
6709	1387	
6711	1320	
6713	1379	
6715	1407	
6717	1312	
6719	1397	
6721	1389	
6723	1304	
6725	838	
6727	1390	
6729	1318	
6731	1382	
6733	1394	
6735	1410	
6737	1382	
6739	1341	
6741	1375	
6743	1390	
6745	1088	
6747	1389	
6749	1396	
6751	1315	
6753	1376	
6755	1411	
6757	1314	
6759	1398	
6761	1394	
6763	1319	
6765	1137	
6767	5191	
6773	1393	
6775	1402	
6777	1325	
6779	1400	
6781	1393	
6783	1324	
6785	1145	
6787	1400	
6789	1336	
6791	1389	
6794	1393	
6796	1391	
6798	1397	
6801	1406	
6804	1399	
6806	1386	
6808	1403	
6811	1397	
6814	1390	
6816	5333	
6822	1387	
6824	1402	
6826	1330	
6828	1391	
6831	1408	
6833	1392	
6835	1411	
6837	1307	
6839	1387	
6840	1413	
6842	1462	
6844	1392	
6846	1404	
6848	1319	
6850	1413	
6852	1400	
6854	1347	
6856	1386	
6858	1404	
6860	1412	
6862	1406	
6864	1349	
6866	1384	
6868	1412	
6870	1427	
6872	1397	
6874	5051	
6881	1391	
6883	1396	
6885	1088	
6887	1393	
6889	1391	
6891	1330	
6893	1384	
6895	1406	
6897	1325	
6899	1391	
6901	1389	
6903	1323	
6905	1139	
6907	1400	
6909	1328	
6911	1383	
6913	1388	
6915	1330	
6917	1393	
6919	1400	
6921	1327	
6923	1392	
6925	1152	
6927	1334	
6929	1389	
6931	1400	
6934	1395	
6936	1399	
6938	1329	
6940	1398	
6942	1393	
6944	1334	
6947	1395	
6949	1395	
6951	1328	
6953	1360	
6955	1422	
6957	1334	
6959	1401	
6961	1402	
